date_creation,fid,s109_5,s120_3,s3_5,year,quarter
2019-04-12,17653,0,0,0,2019,1
2020-04-17,18565,0,1257138,0,2019,1
2019-07-05,21473,0,5538,0,2019,1
2019-04-24,22600,0,2289527,0,2019,1
2019-04-15,23102,0,0,0,2019,1
2019-04-25,34960,0,315679,0,2019,1
2019-05-21,37214,0,27813,0,2019,1
2019-04-25,44520,0,1611087,0,2019,1
2021-01-15,44986,0,741364,0,2019,1
2019-04-15,49535,0,0,0,2019,1
2019-04-25,49659,0,15966149,0,2019,1
2019-04-16,49695,0,0,0,2019,1
2019-04-24,50104,0,1458407,0,2019,1
2019-04-08,51161,0,0,0,2019,1
2019-04-24,51290,0,0,0,2019,1
2019-04-24,52643,0,1788757,0,2019,1
2019-04-17,56171,0,0,0,2019,1
2019-04-29,57121,0,0,0,2019,1
2019-04-10,59363,0,0,0,2019,1
2019-04-24,66532,0,451625,0,2019,1
2019-04-23,72166,0,3535578,0,2019,1
